library	file	cohort	batch
WBC1308_UC1	/mnt/data/urine/bams/dedup/WBC1308_UC1_aligned_dedup.bam	bladder	3
WBC1309_UC1	/mnt/data/urine/bams/dedup/WBC1309_UC1_aligned_dedup.bam	bladder	1
WBC1310_UC1	/mnt/data/urine/bams/dedup/WBC1310_UC1_aligned_dedup.bam	bladder	1
WBC1311_UC1	/mnt/data/urine/bams/dedup/WBC1311_UC1_aligned_dedup.bam	bladder	1
WBC1312_UC1	/mnt/data/urine/bams/dedup/WBC1312_UC1_aligned_dedup.bam	bladder	1
WBC1313_UC1	/mnt/data/urine/bams/dedup/WBC1313_UC1_aligned_dedup.bam	bladder	1
WBC1314_UC1	/mnt/data/urine/bams/dedup/WBC1314_UC1_aligned_dedup.bam	bladder	1
WBC1315_UC1	/mnt/data/urine/bams/dedup/WBC1315_UC1_aligned_dedup.bam	bladder	1
WBC1317_UC1	/mnt/data/urine/bams/dedup/WBC1317_UC1_aligned_dedup.bam	bladder	1
WBC1317_UC2	/mnt/data/urine/bams/dedup/WBC1317_UC2_aligned_dedup.bam	bladder	2
WBC1317_UC3	/mnt/data/urine/bams/dedup/WBC1317_UC3_aligned_dedup.bam	bladder	2
WBC1317_UC4	/mnt/data/urine/bams/dedup/WBC1317_UC4_aligned_dedup.bam	bladder	2
WBC1318_UC1	/mnt/data/urine/bams/dedup/WBC1318_UC1_aligned_dedup.bam	bladder	3
WBC1320_UC1	/mnt/data/urine/bams/dedup/WBC1320_UC1_aligned_dedup.bam	bladder	1
WBC1320_UC1b	/mnt/data/urine/bams/dedup/WBC1320_UC1b_aligned_dedup.bam	bladder	2
WBC1320_UC2	/mnt/data/urine/bams/dedup/WBC1320_UC2_aligned_dedup.bam	bladder	2
WBC1320_UC3	/mnt/data/urine/bams/dedup/WBC1320_UC3_aligned_dedup.bam	bladder	2
WBC1320_UC4	/mnt/data/urine/bams/dedup/WBC1320_UC4_aligned_dedup.bam	bladder	2
WBC1320_UC5	/mnt/data/urine/bams/dedup/WBC1320_UC5_aligned_dedup.bam	bladder	2
WBC1322_UC1	/mnt/data/urine/bams/dedup/WBC1322_UC1_aligned_dedup.bam	bladder	1
WBC1322_UC2	/mnt/data/urine/bams/dedup/WBC1322_UC2_aligned_dedup.bam	bladder	3
WBC1322_UC3	/mnt/data/urine/bams/dedup/WBC1322_UC3_aligned_dedup.bam	bladder	3
WBC1322_UC4	/mnt/data/urine/bams/dedup/WBC1322_UC4_aligned_dedup.bam	bladder	3
WBC1322_UC5	/mnt/data/urine/bams/dedup/WBC1322_UC5_aligned_dedup.bam	bladder	3
WBC1324_UC1	/mnt/data/urine/bams/dedup/WBC1324_UC1_aligned_dedup.bam	bladder	3
WBC1324_UC2	/mnt/data/urine/bams/dedup/WBC1324_UC2_aligned_dedup.bam	bladder	3
WBC1324_UC3	/mnt/data/urine/bams/dedup/WBC1324_UC3_aligned_dedup.bam	bladder	3
WBC1324_UC4	/mnt/data/urine/bams/dedup/WBC1324_UC4_aligned_dedup.bam	bladder	3
WBC1324_UC5	/mnt/data/urine/bams/dedup/WBC1324_UC5_aligned_dedup.bam	bladder	3
WBC1325_UC2	/mnt/data/urine/bams/dedup/WBC1325_UC2_aligned_dedup.bam	bladder	2
WBC1325_UC3	/mnt/data/urine/bams/dedup/WBC1325_UC3_aligned_dedup.bam	bladder	2
WBC1325_UC4	/mnt/data/urine/bams/dedup/WBC1325_UC4_aligned_dedup.bam	bladder	2
WBC1325_UC5	/mnt/data/urine/bams/dedup/WBC1325_UC5_aligned_dedup.bam	bladder	2
WBC1325_UC5b	/mnt/data/urine/bams/dedup/WBC1325_UC5b_aligned_dedup.bam	bladder	2
